	QUESTION	ANSWER_CHOICE	Q_UNDERGOER	A_UNDERGOER	UNDERGOER_SCORE	Q_ENABLER	A_ENABLER	ENABLER_SCORE	Q_TRIGGER	A_TRIGGER	TRIGGER_SCORE	Q_THEME	A_THEME	THEME_SCORE	Q_RESULT	A_RESULT	RESULT_SCORE	Q_SOURCE	A_SOURCE	SOURCE_SCORE	Q_TARGET	A_TARGET	TARGET_SCORE	Q_LOCATION	A_LOCATION	LOCATION_SCORE	Q_DIRECTION	A_DIRECTION	DIRECTION_SCORE	CORRECT_ANSWER
0	What is the name of the process by which most cells divide?	life cycle					reproduction		divide							succeeding each other														mitosis
1	What is the name of the process by which most cells divide?	mitosis	cells	cell	1.0				divide	division	1.0					genetically identical daughter cells														mitosis
2	What is the name of the process by which most cells divide?	regeneration																												mitosis
3	What process produces sex cells?	mitosis		cell											sex cells	genetically identical daughter cells	0.510980659482													meiosis
4	What process produces sex cells?	splitting		something																										meiosis
5	What process produces sex cells?	meiosis		germ cell											sex cells	sex cells	1.0													meiosis
6	When light strikes a surface and bounces off, what occurs?	refraction	light	light	1.0				strikes a surface and bounces off	bounce	1.0					bends at an angle									object					reflection
7	When you rub your hands together very quickly, it produces heat and is called 	gravity	hands	physical things	0.0925914126984																							towards each other		friction
8	When you rub your hands together very quickly, it produces heat and is called 	friction					moving over another								heat															friction
9	When you rub your hands together very quickly, it produces heat and is called 	friction	hands						rub	rub	1.0				heat	heat	1.0													friction
10	Which of the following must all plant and animal species do in order for each species to survive?	migrate	all plant and animal species	animal	1.0					move					each species to survive				one region or habitat			another								reproduce
11	Which of the following must all plant and animal species do in order for each species to survive?	reproduce	all plant and animal species	animal	1.0		some process of generation or propagation, sexual or asexual			reproduction					each species to survive	survival of a species	0.764357539578													reproduce
12	Which of the following must all plant and animal species do in order for each species to survive?	make food	all plant and animal species	plants	1.0		chlorophyll			make																				reproduce
13	"To move in a circle around an object is to <span class=""blank""> </span>"	revolve		object					move	move	1.0													around an object	around another object	0.726010456997				revolve
14	"To move in a circle around an object is to <span class=""blank""> </span>"	rotate		moon					move	spins	0.275434027778													around an object	on its axis	0.547911070721				revolve
15	"To move in a circle around an object is to <span class=""blank""> </span>"	eclipse		one celestial body																				around an object						revolve
16	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	precipitation	glacial ice	water	0.828995955946	heated				falls						falls under gravity			sky			earth								melting
17	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	melting	glacial ice	solid	0.137617065557	heated	heating it past its melting point	1.0		phase transition						liquid														melting
18	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	freezing	glacial ice	liquid	0.651919101004	heated	temperature is lowered below its freezing point	0.00232513864217		phase transition						solid														melting
19	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	evaporation	glacial ice	liquid state	0.375084802322	heated	increase in temperature and/or pressure	0.00320835210983		changing						gaseous state														melting
20	The continuous movement of nitrogen between air, soil, plants and animals.	carbon cycle							continuous movement	continuous exchange	0.547817141094																			nitrogen cycle
21	The continuous movement of nitrogen between air, soil, plants and animals.	nitrogen cycle	nitrogen	nitrogen	1.0							air, soil, plants and animals	organisms	1.0																nitrogen cycle
22	The process that forms reproductive cells is called?	mitosis		cell											reproductive cells	genetically identical daughter cells	0.423869449189													meiosis
23	The process that forms reproductive cells is called?	meiosis		germ cell											reproductive cells	sex cells	1.0													meiosis
24	What causes sunflowers to bend toward the sunlight?	negative tropism	sunflowers	plant or plant part	0.282613208535				bend	move	0.0234277384423																toward the sunlight	away from the stimulus	0.186810582857	positive tropism
25	What causes sunflowers to bend toward the sunlight?	transportation					system or vehicles		bend	move	0.0234277384423								one place			another					toward the sunlight			positive tropism
26	What causes sunflowers to bend toward the sunlight?	positive tropism	sunflowers	plant	1.0				bend	move	0.0234277384423																toward the sunlight	towards the stimulus	0.597402110204	positive tropism
27	What causes sunflowers to bend toward the sunlight?	pollination	sunflowers	plants	1.0		insect									dispersing their seeds			anther			stigma					toward the sunlight			positive tropism
28	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	evaporation		liquid state			increase in temperature and/or pressure		water cycle	water cycle	1.0				water vapor rises	gaseous state	0.275614345857													evaporation
29	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	condensation		water vapor					water cycle	changed	0.0413223140496				water vapor rises	liquid water	0.428477692545													evaporation
30	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	precipitation		water															sky			earth								evaporation
31	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	transpiration		plants			stomata on leaves or the pores of the skin		water cycle	water cycle	1.0				water vapor rises	vapor containing water and waste products	0.821615173425													evaporation
32	"Teeth help us to <span class=""blank""> </span>. "	swim								move																				talk
33	"Teeth help us to <span class=""blank""> </span>. "	write								form						letters, words, or symbols														talk
34	"Teeth help us to <span class=""blank""> </span>. "	talk				teeth	teeth, lips, and tongue	1.0		speech																				talk
35	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	shedding	snake				peeling or shedding or coming off								loses its outer skin	loss of bits of outer skin	0.54944785576													molting
36	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	loosening								make																				molting
37	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	molting	snake	snake	1.0					molts					loses its outer skin	shed its skin	0.598497820663													molting
38	"Babies will <span class=""blank""> </span> or get traits from their parents. "	reproduce	babies	animal	0.00173611111111				get	generate	3.20495464451e-09	traits				survival of a species														inherit
39	"Babies will <span class=""blank""> </span> or get traits from their parents. "	survive	babies			parents			get			traits				remain alive or in existence														inherit
40	"Babies will <span class=""blank""> </span> or get traits from their parents. "	inherit	babies			parents	parent	1.0	get	receive	0.270866618706	traits	trait	1.0																inherit
41	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	rain	balls of ice	water drops	0.371409523446		condensed from atmospheric vapor		falls	fall	1.0																			hail
42	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	hail	balls of ice	water	0.828995955946		precipitation		falls	falls	1.0					rounded pellets of ice and hard snow														hail
43	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	snow	balls of ice	water vapor	0.160131502844				falls	snow	0.210069444444					falls to the earth														hail
44	How does your body acquire the oxygen the cells in your body need to function? 	absorption	body							take in					acquire the oxygen															breathing
45	How does your body acquire the oxygen the cells in your body need to function? 	breathing	body	human body	1.0		lungs			breathed					acquire the oxygen	takes the oxygen	0.458342979454													breathing
46	How does your body acquire the oxygen the cells in your body need to function? 	osmosis	body	water	0.876464569696					movement					acquire the oxygen				low solute concentration			high solute concentation			semipermeable membrane					breathing
47	"The force that keeps us on Earth is <span class=""blank""> </span> "	magnetism		magnets			magnetic fields		force	magnetism	0.765625				keeps us on Earth															gravity
48	"The force that keeps us on Earth is <span class=""blank""> </span> "	inertia		object			change in its motion						state of rest or uniform motion		keeps us on Earth															gravity
49	"The force that keeps us on Earth is <span class=""blank""> </span> "	gravity		terrestrial bodies					force	natural force| move	1.0				keeps us on Earth	fall toward the center of the earth	0.293236067784											towards each other		gravity
50	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	separated							placed in a pile	separated	0.00129997575196				break down into soil	pieces or fragments	0.0686184539721													composted
51	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	composted	leaves and grass clippings	mixture of various decaying organic substances, as dead leaves or manure	0.258842851506		action of aerobic bacteria, fungi, and other organisms						soil		break down into soil	fertilizing soil	0.297980704185													composted
52	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	processed	leaves and grass clippings				series of actions, motions, or operations								break down into soil															composted
53	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	crushed					force that destroys or deforms																							composted
54	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	terracing				fertilizer			adding	form	5.72331219523e-06				replace nutrients used up by previous crops	support growing crops that require irrigation	0.189586416685													fertilization
55	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	strip farming	soil			fertilizer							crops																	fertilization
56	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	crop rotation	soil	land	2.70229301914e-05										replace nutrients used up by previous crops	add nutrients to the soil	0.340627979409													fertilization
57	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	fertilization	soil	soil	1.0	fertilizer	addition of organic material or fertilizer	1.0	adding	making	5.72331219523e-06				replace nutrients used up by previous crops	replace the nutrients	0.829540089324													fertilization
58	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	terracing	land	fields	0.000467494521549	different crops									adding nutrients back in the soil	prevent the formation of rills, improves soil fertility through reduced erosion, and helps water conservation	0.19212980787													crop rotation
59	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	contour plowing	land	land	1.0	different crops									adding nutrients back in the soil	prevents fertile topsoil from being carried downhill by flowing rainwater	0.186820134693											following the contours of the land		crop rotation
60	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	crop rotation	land	land	1.0	different crops	different crops	1.0							adding nutrients back in the soil	add nutrients to the soil	0.876912851629													crop rotation
61	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	fertilization	land	soil	2.70229301914e-05				planting	making	0.00692041522491				adding nutrients back in the soil	replace the nutrients	0.671362380424													crop rotation
62	A giraffe's long neck is a(n) 	mimicry	giraffe	organism	1.0	long neck				resemblance			object in its surroundings			concealment or protection from predators														adaptation
63	A giraffe's long neck is a(n) 	adaptation	giraffe	organism	1.0					biological adaptation			structure, function, or behavior			improves its chance of survival in a specific environment														adaptation
64	A giraffe's long neck is a(n) 	camouflage	giraffe	animal	1.0					exploit			appearance			disguise something														adaptation
65	An adaptation in which an animal looks very much like another animal or an object is a _____________. 	mimicry	animal	organism	1.0								object in its surroundings		looks very much like another animal or an object	concealment or protection from predators	0.154505936458													mimicry
66	An adaptation in which an animal looks very much like another animal or an object is a _____________. 	camouflage	animal	animal	1.0		natural surroundings						appearance		looks very much like another animal or an object	blend into its surroundings	0.00860683256304													mimicry
67	Bees help flowers reproduces through a process called 	phototropism	flowers	fixed organism	0.0755485463212																							toward or away from light		pollination
68	Bees help flowers reproduces through a process called 	transpiration	flowers	plants	0.145124716553											vapor containing water and waste products														pollination
69	Bees help flowers reproduces through a process called 	pollination	flowers	plants	0.145124716553	bees	insect	0.911157024793								dispersing their seeds			anther			stigma								pollination
70	Bees help flowers reproduces through a process called 	fertilization							reproduces	making	0.734567901235					replace the nutrients														pollination
71	What is it called when an object is moved from one position to another? 	work	object	body	0.150752161293		force		moved	moves	1.0							one position			another							direction of the force		work
72	What is it called when an object is moved from one position to another? 	gravity	object	terrestrial bodies	0.150752161293				moved	natural force| move	1.0					fall toward the center of the earth		one position			another							towards each other		work
73	If a fire destroys a forest, new plants will grow. 	conservation	forest	wildlife and natural resources such as forests and water	1.0	fire destroys				protection, preservation, management, or restoration																				succession
74	If a fire destroys a forest, new plants will grow. 	erosion	forest	land surface materials, especially rocks, sediments, and soils	0.000162028761565	fire destroys	exogenic processes (such as water flow or wind)	0.000197163611208		deposited					new plants will grow				upstream portion of a river			downstream portion								succession
75	If a fire destroys a forest, new plants will grow. 	succession	forest	ecological community	0.000559110760307					predictable changes					new plants will grow															succession
76	What starts the change from an igneous rock to a sedimentary rock? 	melting	igneous rock	substance	1.0		heating it past its melting point		change	changing	1.0																			weathering
77	What starts the change from an igneous rock to a sedimentary rock? 	weathering	igneous rock	rocks	1.0				change	broken down	0.213296398892				sedimentary rock	sediments, clays, soils, and  substances that are dissolved in water	0.623573098364								earth's surface					weathering
78	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	destroy					you		cut down	destroy	1.52587890625e-05					break it or make it not exist anymore														destroy
79	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	plant	trees or drain wetlands	(a seed, bulb, or plant	0.191401797923								in the ground			grow														destroy
80	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	help					plants																							destroy
81	When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	build	trees or drain wetlands				combining materials or parts		cut down	make	0.0006103515625					something														destroy
82	Rocks change over time from one type to another.	erosion	rocks	land surface materials, especially rocks, sediments, and soils	1.0		exogenic processes (such as water flow or wind)		change	gradual wearing away	0.222222222222				from one type to another				upstream portion of a river			downstream portion								the rock cycle
83	Rocks change over time from one type to another.	the rock cycle	rocks	Earth's rocks	1.0		sedimentary, igneous, and metamorphic processes		change	continually changing	1.0																			the rock cycle
84	Rocks change over time from one type to another.	melting	rocks	substance	0.0192043895748		heating it past its melting point		change	changing	1.0																			the rock cycle
85	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	measuring	Students				comparison with a standard		find	determining	0.000569678988129	temperature	ratio of a physical quantity, such as a length, time, temperature	1.0																measuring
86	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	classifying	Students									temperature																		measuring
87	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	predicting	Students				observation, experience, or scientific reason		find	declare or indicate in advance	3.8303976414e-05	temperature																		measuring
88	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	inferring	Students				reasoning from evidence		find	conclude	0.00161780236649	temperature																		measuring
89	The process of cutting into a hillside to slow the speed of water flowing down a slope 	terracing	hillside	hillside or sloping lawn	1.0				cutting	cut	1.0				slow the speed of water flowing down a slope	prevent the formation of rills, improves soil fertility through reduced erosion, and helps water conservation	0.262016602419													terracing
90	The process of cutting into a hillside to slow the speed of water flowing down a slope 	contour plowing													slow the speed of water flowing down a slope	prevents fertile topsoil from being carried downhill by flowing rainwater	0.270949515643											following the contours of the land		terracing
91	The process of cutting into a hillside to slow the speed of water flowing down a slope 	windbreaking	hillside				one or more rows of trees or shrubs								slow the speed of water flowing down a slope	provide shelter from the wind and to protect soil from erosion	0.0738269118017													terracing
92	The process of cutting into a hillside to slow the speed of water flowing down a slope 	fertilization					fertilizer		cutting	making	0.0006103515625				slow the speed of water flowing down a slope	production of crops	0.219764473837													terracing
93	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	strip farming										grasses	crops	0.00510204081633																strip farming
94	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	contour plowing		soil								grasses			prevent soil from being washed or blown away	prevents fertile topsoil from being carried downhill by flowing rainwater	0.378226370147											following the contours of the land		strip farming
95	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	crop rotation		land			different crops					grasses			prevent soil from being washed or blown away	add nutrients to the soil	0.216944121751													strip farming
96	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	fertilization		soil			fertilizer		planting	making	0.00692041522491	grasses			prevent soil from being washed or blown away	enrichment of soil	0.326604691886													strip farming
97	What process ends with a new and improved plant? 	germinating		seeds or spores			increased metabolism			form					new and improved plant	new tissue	0.393671511203													grafting
98	What process ends with a new and improved plant? 	photosynthesis		green plants, algae, diatoms, and certain forms of bacteria			carbon dioxide and water			Photosynthesis					new and improved plant	remove carbon dioxide gas from the environment and the release oxygen in its place	0.178784760585													grafting
99	What process ends with a new and improved plant? 	grafting		bud						joined																				grafting
100	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	harden										plaqued				make it hard														decay
101	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	shine	teeth				source of light					plaqued				light														decay
102	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	decay	teeth									plaqued																		decay
103	"If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class=""blank""> </span>. "	become whiter										plaqued				whie or whiter														decay
104	When plants use stored sugar for energy, they go through a process called 	perspiration					sweat glands of the skin						water																	respiration
105	When plants use stored sugar for energy, they go through a process called 	photosynthesis	plants	green plants, algae, diatoms, and certain forms of bacteria	1.0		carbon dioxide and water																							respiration
106	When plants use stored sugar for energy, they go through a process called 	respiration	plants	cells and tissues of animals and plants	1.0				use stored sugar	chemical breakdown of complex organic substances	0.0307685737637				energy	energy is released and carbon dioxide produced	1.0													respiration
107	When plants use stored sugar for energy, they go through a process called 	transpiration	plants	plants	1.0		stomata on leaves or the pores of the skin		use stored sugar	giving off	8.14598085765e-06																			respiration
108	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	conduction					molecules of objects in direct contact		heated	direct transfer	0.000572000129188				metal handle of the pot to also become hot															conduction
109	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	convection					molecular motion		heated						metal handle of the pot to also become hot										gas					conduction
110	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	combustion	pot						heated	chemical change	0.0778325116468				metal handle of the pot to also become hot	heat	1.0													conduction
111	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	radiation													metal handle of the pot to also become hot										material medium					conduction
112	Andy is cooking a piece of ham in a pan. 	conduction					molecules of objects in direct contact																							conduction
113	Andy is cooking a piece of ham in a pan. 	friction					moving over another																							conduction
114	Andy is cooking a piece of ham in a pan. 	friction	a piece of ham													heat														conduction
115	Terracing a hillside can slow __________________________. 	absorption	hillslide																											erosion
116	Terracing a hillside can slow __________________________. 	soil formation	hillslide				rocks									soil														erosion
117	Terracing a hillside can slow __________________________. 	erosion					exogenic processes (such as water flow or wind)												upstream portion of a river			downstream portion								erosion
118	Terracing a hillside can slow __________________________. 	weathering														sediments, clays, soils, and  substances that are dissolved in water									earth's surface					erosion
119	bleaching your hair 	physical change	hair	objects	0.880710059172	chemical agent			bleaching	change	0.208333333333				whiten	change state	0.506259338666													chemical change
120	bleaching your hair 	chemical change				exposure to sunlight	light	1.0	make	formed	0.111278824193				lighten in color	light	1.0													chemical change
121	Burning a match is a 	physical change	match 	objects	0.1181640625				combustion	change	0.04				light	change luster	0.64													chemical change
122	Burning a match is a 	chemical change					electricity		combustion	chemical reactions	0.36				give off heat	heat	1.0													chemical change
123	corroding metal 	physical change	other materials	substances	0.553686465605	chemical action			corroding	change	0.666666666667					mixture														chemical change
124	corroding metal 	chemical change	other materials	organic matter	0.553686465605											compound														chemical change
125	fireworks exploding 	physical change	fireworks	substances	1.0	nuclear reaction			expansion	change	0.734693877551				light	change luster	0.64													chemical change
126	fireworks exploding 	chemical change	fireworks	substance	1.0										heat	change in temperature	1.0													chemical change
127	mixing lemonade powder into water 	physical change	lemonade powder	substances	2.0				mixing	change	0.21484375				mixture	mixture	1.0													physical change
128	mixing lemonade powder into water 	chemical change	lemonade powder	substance	2.0		electricity		mixing	combines	0.0391002415459				mixture	compound	0.927158799745													physical change
129	squeezing oranges to make orange juice 	physical change	oranges	objects	0.289940828402				press	change	0.00329212577264				change its shape	change shape	1.0													physical change
130	squeezing oranges to make orange juice 	chemical change	oranges	organic matter	0.0934130844635		electricity		press	formed	6.7186240258e-05				make orange juice	new substance	1.20770670582													physical change
