QUESTION	UNDERGOER	CAUSE	MANNER	RESULT
Water freezing is an example of a	water		freezing	
Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Which process caused the rainwater in the pan to disappear as it sat outside in the hot air?		hot summer day, very heavily	rained	
Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Which process caused the rainwater in the pan to disappear as it sat outside in the hot air?	plastic pan	rain	had	2 cm of rainwater
Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Which process caused the rainwater in the pan to disappear as it sat outside in the hot air?	all the rainwater	four hours		gone
Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Which process caused the rainwater in the pan to disappear as it sat outside in the hot air?	rainwater	sat outside in the hot air	disappear	
A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by	car	under the tires	skids	smoke
A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by	heat		produces	smoke
When a baby shakes a rattle, it makes a noise. Which form of energy was changed to sound energy?	baby	a rattle	shakes	noise
When a baby shakes a rattle, it makes a noise. Which form of energy was changed to sound energy?	form of energy		changed	sound energy
The movement of soil by wind or water is called	soil	wind or water	movement	
Which is the best example of evaporation?			example	evaporation
Which process causes the leaves of a plant to become larger?	leaves of a plant		process	larger
A turtle eating worms is an example of	turtle	eating worms	example	
One way animals usually respond to a sudden drop in temperature is by	animal	sudden drop in temperature	respond	
Which human activity most often has a harmful effect on the environment?	human activity		effect	harmful effect on the environment
Which activity is necessary for humans to maintain good health?	humans		activity	maintain good health
A decrease in air temperature from 60 degrees F to 35 degress F would most likely cause a person to	person	decrease in air temperature	cause	
Some birds fly south before winter each year. This is an example of	birds	south before winter each year	fly	
Which adaptation often helps an animal attract a mate?	animals		adaptation	attract a mate
Which sense can be used to determine an object's ability to reflect light?	sense		used	determine object's ability to reflect light
A student drops a ball. Which force causes the ball to fall to the ground?	student	ball	drops	
A student drops a ball. Which force causes the ball to fall to the ground?	ball		force	fall to the ground
When an ice cube melts, its state of matter changes from a	ice cube	state of matter changes	melts	
How long does it take for Earth to rotate on its axis seven times?	Earth		rotate	rotate on its axis seven times
What form of energy is being used when a person pushes a wooden block across the floor?	person	wooden block across the floor	pushes	form of energy
During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called	white fur of an arctic fox	during winter	adaptation	blends in with the snow
Many birds fly south for the winter. This adaptation is called	birds	south for the winter	adaptation	
During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of	liquid	during an experiment, when mixed with another liquid	turned	green
It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Which two processes made the puddle form and then disappear?		hot summer afternoon	rained	puddle formed
It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Which two processes made the puddle form and then disappear?	puddle	after several hours		gone
It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Which two processes made the puddle form and then disappear?	puddle		processes	form and then disappear
Which force causes rocks to roll downhill?	rocks		force	roll downhill
Which two activities are carried out by all species of living things?	all species of living things		activities	
Which human activity is most harmful to the natural environment?	human activity	harmful to the natural environment		